address,suburb,postcode,region,price_raw,property_type,bedrooms,bathrooms,car_spaces,land_size,distance_km_from_wilgena,school_zone,safety_rating,year_built,url
"33 Greville Avenue,Flinders Park SA 5025",Flinders Park,5025,Western Coastal & Beachside,Auction In-Room Thursday 24th September 6:00PM,House,3,1,1,442 m²,8.61,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=33+Greville+Avenue%2C+Flinders+Park+SA+5025
"21 Gould Street,Flinders Park SA 5025",Flinders Park,5025,Western Coastal & Beachside,Price Reduced!,House,3,1,10,760 m²,8.61,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=21+Gould+Street%2C+Flinders+Park+SA+5025
"271 Findon Road,Flinders Park SA 5025",Flinders Park,5025,Western Coastal & Beachside,UNDER CONTRACT,House,3,1,3,1200 m²,8.61,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=271+Findon+Road%2C+Flinders+Park+SA+5025
"39 Rowells Road,Lockleys SA 5032",Lockleys,5032,Western Coastal & Beachside,Contact Agent.,House,3,2,2,163 m²,8.8,Henley High School [Specialist Sports & Academic],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=39+Rowells+Road%2C+Lockleys+SA+5032
"20A Douglas Street,Lockleys SA 5032",Lockleys,5032,Western Coastal & Beachside,Under Contract by Suzanna Paul!,House,3,2,4,429 m²,8.8,Henley High School [Specialist Sports & Academic],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=20A+Douglas+Street%2C+Lockleys+SA+5032
"79A White Avenue,Lockleys SA 5032",Lockleys,5032,Western Coastal & Beachside,UNDER CONTRACT,House,3,2,2,375 m²,8.8,Henley High School [Specialist Sports & Academic],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=79A+White+Avenue%2C+Lockleys+SA+5032
"17 Lancaster Street,Lockleys SA 5032",Lockleys,5032,Western Coastal & Beachside,Under Contract,House,3,2,4,312.5 m²,8.8,Henley High School [Specialist Sports & Academic],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=17+Lancaster+Street%2C+Lockleys+SA+5032
"5 Lennon Lodge Lane,Coromandel Valley SA 5051",Coromandel Valley,5051,City of Mitcham & Foothills,$985K — $1.045M,House,3,1,3,1041 m²,9.16,Blackwood High School [Honours Program],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),1990,https://www.domain.com.au/sale/?terms=5+Lennon+Lodge+Lane%2C+Coromandel+Valley+SA+5051
"418 Main Road,Coromandel Valley SA 5051",Coromandel Valley,5051,City of Mitcham & Foothills,Expression of Interest,House,3,2,6,1162 m²,9.16,Blackwood High School [Honours Program],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=418+Main+Road%2C+Coromandel+Valley+SA+5051
"125 Mount Barker Road,Stirling SA 5152",Stirling,5152,Adelaide Hills & North-East Enclaves,"$950,000-$1,045,000",House,3,1,3,1117 m²,9.62,Heathfield High School [Top Hills High],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=125+Mount+Barker+Road%2C+Stirling+SA+5152
"4 Penshurst Place,Stirling SA 5152",Stirling,5152,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,1,1,117 m²,9.62,Heathfield High School [Top Hills High],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4+Penshurst+Place%2C+Stirling+SA+5152
"1/25 Verona Avenue,Newton SA 5074",Newton,5074,"Norwood, Campbelltown & North-East Core",$790k,Unit / Villa,3,1,1,323 m²,9.65,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=1%2F25+Verona+Avenue%2C+Newton+SA+5074
"82A Playford Road,Newton SA 5074",Newton,5074,"Norwood, Campbelltown & North-East Core",$900K — $950K,House,3,2,1,N/A,9.65,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),2026,https://www.domain.com.au/sale/?terms=82A+Playford+Road%2C+Newton+SA+5074
"9 Frost Street,Newton SA 5074",Newton,5074,"Norwood, Campbelltown & North-East Core",Contact Agent,House,3,2,2,N/A,9.65,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=9+Frost+Street%2C+Newton+SA+5074
"12 Chatswood Grove,Newton SA 5074",Newton,5074,"Norwood, Campbelltown & North-East Core",Sold At Auction,House,3,2,1,570 m²,9.65,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=12+Chatswood+Grove%2C+Newton+SA+5074
"3/6 Woodley Avenue,Newton SA 5074",Newton,5074,"Norwood, Campbelltown & North-East Core",Contact Agent,House,3,2,2,99 m²,9.65,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3%2F6+Woodley+Avenue%2C+Newton+SA+5074
"39 Birdsong Avenue,Kidman Park SA 5025",Kidman Park,5025,Western Coastal & Beachside,Contact Agent,Townhouse,3,2,2,184 m²,9.7,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=39+Birdsong+Avenue%2C+Kidman+Park+SA+5025
"515 Tapleys Hill Road,Fulham Gardens SA 5024",Fulham Gardens,5024,Western Coastal & Beachside,"$795,000 - $815,000",House,3,1,2,360 m²,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),1968,https://www.domain.com.au/sale/?terms=515+Tapleys+Hill+Road%2C+Fulham+Gardens+SA+5024
"3/1 Coral Sea Road,Fulham SA 5024",Fulham,5024,Western Coastal & Beachside,$1.1M — $1.2M,House,3,2,2,N/A,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),2024,https://www.domain.com.au/sale/?terms=3%2F1+Coral+Sea+Road%2C+Fulham+SA+5024
"3 Carolyn Avenue,Fulham SA 5024",Fulham,5024,Western Coastal & Beachside,$1.25m - $1.35m,House,3,2,2,173 m²,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3+Carolyn+Avenue%2C+Fulham+SA+5024
"D1 & D4/3 Gault Avenue,Fulham SA 5024",Fulham,5024,Western Coastal & Beachside,Contact Agent,House,3,2,2,N/A,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=D1+%26+D4%2F3+Gault+Avenue%2C+Fulham+SA+5024
"21 Mancheff Street,Fulham Gardens SA 5024",Fulham Gardens,5024,Western Coastal & Beachside,Contact Agent,House,3,3,2,578 m²,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=21+Mancheff+Street%2C+Fulham+Gardens+SA+5024
"1/14 Riverway,Fulham Gardens SA 5024",Fulham Gardens,5024,Western Coastal & Beachside,UNDER CONTRACT - CONTACT AGENTS,House,3,2,1,N/A,10.46,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1%2F14+Riverway%2C+Fulham+Gardens+SA+5024
"8/283 Brighton Road,Somerton Park SA 5044",Somerton Park,5044,Western Coastal & Beachside,"$899,000 to $949,000",House,3,2,2,N/A,10.75,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8%2F283+Brighton+Road%2C+Somerton+Park+SA+5044
"25B Wilkinson Avenue,Somerton Park SA 5044",Somerton Park,5044,Western Coastal & Beachside,Under Contract,House,3,2,2,341 m²,10.75,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),2018,https://www.domain.com.au/sale/?terms=25B+Wilkinson+Avenue%2C+Somerton+Park+SA+5044
"68 Diagonal Road,Somerton Park SA 5044",Somerton Park,5044,Western Coastal & Beachside,Expression of interest,House,3,1,2,790 m²,10.75,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=68+Diagonal+Road%2C+Somerton+Park+SA+5044
"31A Tarlton Street,Somerton Park SA 5044",Somerton Park,5044,Western Coastal & Beachside,Under Offer,House,3,2,1,310 m²,10.75,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=31A+Tarlton+Street%2C+Somerton+Park+SA+5044
"11 Haggis Street,Athelstone SA 5076",Athelstone,5076,"Norwood, Campbelltown & North-East Core",UNDER CONTRACT,House,3,1,8,720 m²,10.85,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=11+Haggis+Street%2C+Athelstone+SA+5076
"2/24 Brighton Road,Glenelg East SA 5045",Glenelg East,5045,Western Coastal & Beachside,$915k - $950k,House,3,1,2,227 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=2%2F24+Brighton+Road%2C+Glenelg+East+SA+5045
"17 Jervois Street,Glenelg North SA 5045",Glenelg North,5045,Western Coastal & Beachside,"$950,000 to $1,045,000",House,3,1,2,180 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=17+Jervois+Street%2C+Glenelg+North+SA+5045
"2F Gosse Avenue,Glenelg North SA 5045",Glenelg North,5045,Western Coastal & Beachside,$1.15m - $1.2m,House,3,2,2,350 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=2F+Gosse+Avenue%2C+Glenelg+North+SA+5045
"34/8-9 North Esplanade,Glenelg North SA 5045",Glenelg North,5045,Western Coastal & Beachside,"$1,250,000",Apartment,3,2,2,N/A,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=34%2F8-9+North+Esplanade%2C+Glenelg+North+SA+5045
"41 Gordon Street,Glenelg SA 5045",Glenelg,5045,Western Coastal & Beachside,Contact Agent,House,3,2,2,327 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=41+Gordon+Street%2C+Glenelg+SA+5045
"17-17A Augusta Street,Glenelg SA 5045",Glenelg,5045,Western Coastal & Beachside,AUCTION SAT 26TH SEPTEMBER AT 10:00AM (USP),House,3,2,2,185 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=17-17A+Augusta+Street%2C+Glenelg+SA+5045
"1 Percival Street,Glenelg SA 5045",Glenelg,5045,Western Coastal & Beachside,Under Contract,House,3,3,2,N/A,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),2010,https://www.domain.com.au/sale/?terms=1+Percival+Street%2C+Glenelg+SA+5045
"26/18 Broadway,Glenelg South SA 5045",Glenelg South,5045,Western Coastal & Beachside,Contact Agent,Unit / Villa,3,1,1,N/A,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=26%2F18+Broadway%2C+Glenelg+South+SA+5045
"1/3 Farrell Street,Glenelg South SA 5045",Glenelg South,5045,Western Coastal & Beachside,Contact Agent,Unit / Villa,3,2,3,124 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=1%2F3+Farrell+Street%2C+Glenelg+South+SA+5045
"17/18 Broadway,Glenelg South SA 5045",Glenelg South,5045,Western Coastal & Beachside,Best Offer By 22/09 (USP),Unit / Villa,3,1,1,N/A,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=17%2F18+Broadway%2C+Glenelg+South+SA+5045
"21 St Annes Terrace,Glenelg North SA 5045",Glenelg North,5045,Western Coastal & Beachside,Best Offer By 28/9 at 12pm (USP),House,3,1,2,422 m²,11.01,Brighton Secondary School [Music & Special Interest Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=21+St+Annes+Terrace%2C+Glenelg+North+SA+5045
"847 Lower North East Road,Dernancourt SA 5075",Dernancourt,5075,Adelaide Hills & North-East Enclaves,"$880,000 - $960,000",House,3,1,3,688 m²,11.46,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=847+Lower+North+East+Road%2C+Dernancourt+SA+5075
"10 Arcowie Road,Dernancourt SA 5075",Dernancourt,5075,Adelaide Hills & North-East Enclaves,"$1,020,000 - $1,060,000",House,3,2,1,180 m²,11.46,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),2021,https://www.domain.com.au/sale/?terms=10+Arcowie+Road%2C+Dernancourt+SA+5075
"11 Puringa Road,Dernancourt SA 5075",Dernancourt,5075,Adelaide Hills & North-East Enclaves,"Best Offers by 2pm, 30 September | USP",House,3,2,2,N/A,11.46,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=11+Puringa+Road%2C+Dernancourt+SA+5075
"10 Deconno Court,Dernancourt SA 5075",Dernancourt,5075,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,1,6,717 m²,11.46,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=10+Deconno+Court%2C+Dernancourt+SA+5075
"3 Dernancourt Drive,Dernancourt SA 5075",Dernancourt,5075,Adelaide Hills & North-East Enclaves,Contact Agent,House,3,2,2,180 m²,11.46,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3+Dernancourt+Drive%2C+Dernancourt+SA+5075
"26A Tucker Street,South Brighton SA 5048",South Brighton,5048,Western Coastal & Beachside,"$700,000",House,3,2,1,371 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=26A+Tucker+Street%2C+South+Brighton+SA+5048
"Allotment 12B Hackett Way,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$949,000",House,3,2,1,161 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=Allotment+12B+Hackett+Way%2C+Brighton+SA+5048
"Allotment 13A Hackett Way,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$949,000",House,3,2,1,161 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=Allotment+13A+Hackett+Way%2C+Brighton+SA+5048
"75 Sturt Road,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$1,000,000 - $1,100,000",House,3,1,4,664 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",1957,https://www.domain.com.au/sale/?terms=75+Sturt+Road%2C+Brighton+SA+5048
"Allotment 12A Hackett Way,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$1,099,000",House,3,2,2,164 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=Allotment+12A+Hackett+Way%2C+Brighton+SA+5048
"Allotment 13B Hackett Way,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$1,099,000",House,3,2,2,164 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=Allotment+13B+Hackett+Way%2C+Brighton+SA+5048
"54B Cedar Avenue,Brighton SA 5048",Brighton,5048,Western Coastal & Beachside,"$1,150,000 - $1,250,000",Townhouse,3,2,2,183 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",2020,https://www.domain.com.au/sale/?terms=54B+Cedar+Avenue%2C+Brighton+SA+5048
"1 Olive Street,North Brighton SA 5048",North Brighton,5048,Western Coastal & Beachside,Under Contract,House,3,2,4,230 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1+Olive+Street%2C+North+Brighton+SA+5048
"3A & 3B Balmoral Avenue,North Brighton SA 5048",North Brighton,5048,Western Coastal & Beachside,Best Offers By 22/46(USP),House,3,2,2,193 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",2027,https://www.domain.com.au/sale/?terms=3A+%26+3B+Balmoral+Avenue%2C+North+Brighton+SA+5048
"1 Paterson  Street,North Brighton SA 5048",North Brighton,5048,Western Coastal & Beachside,Best Offer by Mon 31st of August 5pm (USP),House,3,2,3,379 m²,12.37,Brighton Secondary School [Music & Special Interest Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1+Paterson++Street%2C+North+Brighton+SA+5048
"13A Barns Avenue,Highbury SA 5089",Highbury,5089,Adelaide Hills & North-East Enclaves,"$849,000 - $879,000",House,3,2,1,1486.44864 m²,12.87,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=13A+Barns+Avenue%2C+Highbury+SA+5089
"942 Lower North East Road,Highbury SA 5089",Highbury,5089,Adelaide Hills & North-East Enclaves,"$930,000",House,3,2,1,156.9 m²,12.87,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=942+Lower+North+East+Road%2C+Highbury+SA+5089
"587 Brighton Road,Seacliff SA 5049",Seacliff,5049,Western Coastal & Beachside,$995K — $1.09M,House,3,2,4,540 m²,13.63,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),1965,https://www.domain.com.au/sale/?terms=587+Brighton+Road%2C+Seacliff+SA+5049
"2a Ophir Crescent,Seacliff Park SA 5049",Seacliff Park,5049,Western Coastal & Beachside,"$1,250,000 - $1,300,000 Completion October 2026",House,3,2,2,216 m²,13.63,Brighton Secondary School [Music & Special Interest Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=2a+Ophir+Crescent%2C+Seacliff+Park+SA+5049
"1/14 Varram Way,West Lakes Shore SA 5020",West Lakes Shore,5020,Western Coastal & Beachside,$720k - $750k,Unit / Villa,3,1,2,141 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),1984,https://www.domain.com.au/sale/?terms=1%2F14+Varram+Way%2C+West+Lakes+Shore+SA+5020
"9 Anthea Court,West Lakes SA 5021",West Lakes,5021,Western Coastal & Beachside,"$1,249,000 - $1,349,000",House,3,2,3,209 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=9+Anthea+Court%2C+West+Lakes+SA+5021
"19 Mariners Crescent,West Lakes SA 5021",West Lakes,5021,Western Coastal & Beachside,Under Contact By Rick Schultz!,House,3,2,4,660 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=19+Mariners+Crescent%2C+West+Lakes+SA+5021
"32 The Annie Watt Circuit,West Lakes Shore SA 5020",West Lakes Shore,5020,Western Coastal & Beachside,Under Contract | Crawford Doran,House,3,2,2,205 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=32+The+Annie+Watt+Circuit%2C+West+Lakes+Shore+SA+5020
"2/2 Hansen Court,West Lakes Shore SA 5020",West Lakes Shore,5020,Western Coastal & Beachside,UNDER CONTRACT,Unit / Villa,3,1,1,181 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=2%2F2+Hansen+Court%2C+West+Lakes+Shore+SA+5020
"Proposed 1 & 2/5 Santiago Street,West Lakes Shore SA 5020",West Lakes Shore,5020,Western Coastal & Beachside,Contact Agent,House,3,2,3,307 m²,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=Proposed+1+%26+2%2F5+Santiago+Street%2C+West+Lakes+Shore+SA+5020
"39A The Annie Watt Circuit,West Lakes Shore SA 5020",West Lakes Shore,5020,Western Coastal & Beachside,Off Market Opportunity!,House,3,2,2,N/A,14.63,Henley High School [Specialist Sports & Academic],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=39A+The+Annie+Watt+Circuit%2C+West+Lakes+Shore+SA+5020
"17 Radar Street,St Agnes SA 5097",St Agnes,5097,Adelaide Hills & North-East Enclaves,$790K — $860K,House,3,2,1,300 m²,15.94,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),2020,https://www.domain.com.au/sale/?terms=17+Radar+Street%2C+St+Agnes+SA+5097
"D1-D6/24 Radar Street,St Agnes SA 5097",St Agnes,5097,Adelaide Hills & North-East Enclaves,From $875k,Townhouse,3,2,2,178 m²,15.94,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=D1-D6%2F24+Radar+Street%2C+St+Agnes+SA+5097
"6 Lines Street,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$685,000 - $750,000",House,3,2,1,994.062528 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=6+Lines+Street%2C+Ridgehaven+SA+5097
"3 Roy Avenue,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$749,000 - $799,000",House,3,2,1,117 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3+Roy+Avenue%2C+Ridgehaven+SA+5097
"29 Kerrison Avenue,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$790,000 to $840,000",House,3,1,2,681 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=29+Kerrison+Avenue%2C+Ridgehaven+SA+5097
"14 Edward Road,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$799,000-$878,000",House,3,1,2,715 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=14+Edward+Road%2C+Ridgehaven+SA+5097
"18A Albion Street,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$889,000 - $919,000",House,3,2,1,172.2 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=18A+Albion+Street%2C+Ridgehaven+SA+5097
"24 Hilltop Avenue,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$890,000 - $930,000",House,3,2,3,423 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=24+Hilltop+Avenue%2C+Ridgehaven+SA+5097
"34 Sydney Street,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$899,000 & Best Offer",House,3,2,2,169 m²,16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=34+Sydney+Street%2C+Ridgehaven+SA+5097
"9 Shepherd Street,Ridgehaven SA 5097",Ridgehaven,5097,Adelaide Hills & North-East Enclaves,"$949,000 - $979,000",House,3,1,5,"1,010 m²",16.48,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1973,https://www.domain.com.au/sale/?terms=9+Shepherd+Street%2C+Ridgehaven+SA+5097
